Type,Question
Simple,12. What was the average order value in December 2023?
Abstract,87. What are the biggest opportunities for growth?
Abstract,90. How can we increase average order value?
Complex,97. Compare the revenue generated by different marketing channels from last year to this year.
Simple,"45. How many orders were placed using a specific payment method (e.g., PayPal) in the last quarter?"
Simple,30. What is the total revenue generated from returning customers in the last quarter?
Simple,15. How many orders were placed in the past 6 weeks?
Simple,20. What is the total revenue generated by each product category in the last 3 months?
Simple,43. What were the top 3 most profitable product categories in Q1 2024?
Complex,"64. Analyze the revenue generated from different customer segments in the past year, and compare it to the previous year."
Complex,"54. Compare the average order value for different customer segments (e.g., age, location) in Q2 2024."
Simple,33. What was the conversion rate in June 2024?
Complex,51. How has monthly revenue changed year-over-year for the last 12 months?
Simple,36. What is the total revenue from mobile app orders in 2023?
Simple,10. What was the total number of orders on 15th July 2024?
Complex,100. Compare the customer lifetime value (CLTV) of customer cohorts acquired in different years.
Complex,98. Analyze the change in average shipping time from last quarter to this quarter.
Abstract,86. What is the overall health of the business?
Complex,94. Compare the website traffic and conversion rates from last year to this year.
Simple,39. What is the total number of unique products sold in the last year?
Complex,65.  Show the monthly active users (MAU) and daily active users (DAU) trends for the last year.
Complex,59.  What is the churn rate of customers acquired in the past 6 months?
Complex,69. What is the customer acquisition cost (CAC) and return on ad spend (ROAS) for different marketing campaigns in the past quarter?
Complex,55. How many customers made a purchase in the last year but haven't purchased anything in the past 3 months?
Simple,40. How many customers have made more than 5 purchases in the last year?
Simple,21. What is the average revenue per customer in the last quarter?
Complex,56. What is the conversion rate from cart to checkout for different marketing channels in the past quarter?
Complex,62. How does the average order value vary by customer acquisition channel in the last 90 days?
Simple,50. What percentage of orders include a discount code in the past month?
Complex,"70.  Analyze the impact of promotions on sales in the past 6 months, broken down by product category and region."
Simple,4. How many unique customers made a purchase in July 2023?
Simple,16. What is the total number of unique customers in the last year?
Complex,74.  Analyze the relationship between customer demographics and purchase frequency in the last year.
Simple,26. How many users churned in the last 90 days?
Simple,6. What is the total revenue from California in 2023?
Simple,31. What was the total revenue generated from new customers in May 2024?
Simple,23. What was the total number of orders in January 2024?
Complex,72.  How many customers made purchases in both online and offline channels in the last year?
Complex,95. How has customer churn changed over the past four quarters?
Simple,2. How many orders were placed in Q3 2023?
Complex,"73.  What is the average revenue generated by customers who made their first purchase in the last quarter, segmented by customer acquisition source?"
Simple,13. How many customers were acquired last year?
Abstract,88. What are the key risks to the business?
Simple,5. What were the top 3 selling products in the last week?
Simple,22. How many customers were acquired in the past year?
Complex,66. Compare the average order value for orders placed on weekends versus weekdays in the past 3 months.
Simple,49. What is the average shipping cost per order in the last quarter?
Complex,79. Show the trend of customer lifetime value over time for different customer cohorts.
Simple,46. What was the revenue growth rate from Q1 2023 to Q1 2024?
Complex,92.  Compare the customer acquisition cost (CAC) in the last quarter to the previous quarter.
Abstract,84. Which products are performing well and why?
Complex,71.  Identify products with a high return rate in the last 6 months and investigate potential causes.
Simple,9. How many users were acquired in June 2024?
Complex,"57.  Analyze the sales trend of product X in the last year, broken down by region."
Abstract,85. Which products are underperforming and what actions should be taken?
Simple,47. What is the customer retention rate in the past year?
Simple,48. How many orders were delivered late in the last 3 months?
Simple,28. What is the total revenue generated by product category Y in the last week?
Complex,52. What is the average order value for returning customers compared to new customers in the last 6 months?
Abstract,81. What are the key factors driving customer churn?
Simple,27. What was the average order value in Q1 2024?
Simple,25. What is the total revenue for each state in the past 6 months?
Simple,24. What are the top 10 most popular products in 2023?
Complex,58.  Compare the average revenue per customer acquired in Q1 2024 to the average revenue per customer acquired in Q1 2023.
Complex,"60.  Show the weekly sales for the last 12 weeks, segmented by product category and marketing channel."
Complex,93.  Analyze the change in average order value (AOV) from last month to this month.
Simple,18. What are the top 5 best selling products in Q4 2023?
Simple,35. What's the average order value for orders above $100 in the last year?
Simple,29. How many orders were placed in September 2023?
Simple,34. How many users made their first purchase in the past 30 days?
Simple,8. What was the average order value for new customers in Q1 2024?
Simple,42. What was the daily average revenue in March 2024?
Simple,7. How many orders were returned in the past 90 days?
Simple,37. How many customers are located in New York City?
Complex,80. Identify the top 3 customer segments with the highest potential for future revenue growth.
Abstract,83. What are the most effective marketing channels for acquiring new customers?
Complex,91. How did sales in Q2 2024 compare to sales in Q2 2023?
Complex,96. Compare the sales performance of different product categories year-over-year.
Complex,63. What is the percentage of customers who made repeat purchases within a month of their first purchase in the past year?
Complex,75.  Identify the most successful customer segments based on lifetime value and purchase frequency in the last 2 years.
Simple,19. How many orders were cancelled in the past month?
Simple,11. What is the total revenue generated by product category X in 2023?
Complex,61. What is the average time between orders for repeat customers in the past year?
Complex,77. What are the top 5 products with the highest customer satisfaction ratings in the last 6 months?
Simple,14. What is the total revenue for product X in Q2 2024?
Complex,53. What are the top 5 products that have seen the highest revenue growth in the past year?
Simple,41. What's the average customer lifetime value (CLTV) for customers acquired in 2023?
Simple,38. What percentage of orders were shipped using Standard Shipping in Q2 2024?
Simple,44. What is the total number of customers in the database as of today?
Complex,76.  Compare the performance of different product categories during promotional periods versus non-promotional periods in the past year.
Simple,32. How many orders were shipped in the past month?
Complex,78. Analyze the impact of product reviews on sales conversion rate in the past year.
Abstract,89. How can we improve the customer experience?
Complex,67.  Identify customers who purchased product A and product B within a week of each other in the past 6 months.
Simple,1. What were total sales in June 2024?
Abstract,82. How can we improve customer retention?
Simple,3. What is the average order value in the past month?
Complex,99. How has the number of returning customers changed over the past two years?
Complex,68.  What is the correlation between average order value and customer lifetime value in the last year?
Simple,17. What was the average order value for returning customers in May 2024?
